1297	きみにちょっとしたものをもってきたよ。	343792	我给你带了点东西。
4702	何かしてみましょう。	2431762	做点儿什么尝试下吧。
4703	私は眠らなければなりません。	2	我该去睡觉了。
4703	私は眠らなければなりません。	2431761	我必须睡了。
4704	何してるの？	3	你在干什麼啊？
4704	何してるの？	826252	你做什麼？
4705	今日は６月１８日で、ムーリエルの誕生日です！	5	今天是６月１８号，也是Muiriel的生日！
4706	お誕生日おめでとうムーリエル！	6	生日快乐，Muiriel！
4707	ムーリエルは２０歳になりました。	7	Muiriel现在20岁了。
4708	パスワードは「Muiriel」です。	8	密码是"Muiriel"。
4709	すぐに戻ります。	9	我很快就會回來。
4710	知らない。	10	我不知道。
4711	何と言ったら良いか分かりません。	11	我不知道應該說什麼才好。
4712	きりがない。	12	這個永遠完不了了。
4713	何と言ったらいいか・・・。	13	我只是不知道應該說什麼而已……
4714	こいつは悪いウサギだった。	14	那是一隻有惡意的兔子。
4715	私は山にいました。	15	我以前在山里。
4716	それは最近の写真？	16	那是一张近照吗？
4717	時間があるか分かりません。	17	我不知道我有沒有時間。
4718	先程、どういうわけかマイクが入りませんでした。	18	剛才我的麥克風沒起作用，不知道為什麼。
4720	この世界の教育にはがっかりしてしまう。	20	世界上的教育都讓我失望。
4726	私は一日に100ユーロ稼ぎます。	24	我一天賺一百歐元。
4727	すぐに諦めて昼寝をするかも知れない。	25	也许我会马上放弃然后去打盹。
4729	そんなことは起きないでしょう。	26	那是不會發生的。
4731	あなたの勉強を邪魔しないようにします。	27	我会尽量不打扰你复习。
4734	心配しないで。	28	不要擔心。
4735	会えなくて淋しい。	29	我很想你。
4736	明日帰ったら電話します。	30	我明天回來的時候會跟他們聯絡。
4737	私はいつも不思議な性格の方が好きだった。	31	我一直都比較喜歡神秘一點的人物。
4738	眠った方がいいよ。	32	你應該去睡覺了吧。
4739	行くよ。	33	我要走了。
4740	私は彼らにチケットをもう一枚送ってくれるように頼んだ。	34	我請他們再寄給我一張票。
4742	私はそんな風には生きられない。	35	我不能这样活着。
4743	私は一時期、天体物理学者になりたかった。	36	我曾經想過當個太空物理學家。
4744	生物学は好きになれません。	37	我從來沒喜歡過生物學。
4746	残念ながらそれは本当なのです。	38	可惜这是真的。
4747	大抵の人は僕を気違いだと思っている。	39	大部份的人覺得我瘋了。
4748	私は違います。あなたです。	40	不，我不是！你才是！
4749	それは私の台詞だよ！	41	那是我該說的話!
4750	彼は私を蹴っています！	42	他在踢我！
4751	本当？	43	你肯定吗？
4752	そうしたらひとつ問題があって・・・。	44	那就表示有問題...
4753	あ！蝶々がいる！	45	哦！有一隻蝴蝶！
4754	急いで！	46	趕快!
4759	冗談でしょ！？	48	你是在跟我開玩笑吧？！
4762	大きくなったら王様になりたい。	49	我長大後想當國王。
4764	僕はすごく太ってる。	50	我好胖哦。
4765	だから何？	51	那又怎樣?
4766	こらしめてやる。	52	我要把他射下來。
4772	あなたが女の子だからよ。	53	那是因為妳是女生。
4782	僕は不幸かも知れないけれど自殺はしない。	54	我会不高兴，但我不会自杀。
